ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
15423,N,F,2249.0,52700.0,0.0,2249.0,1010.0,2,5,421600.0,12120.32,12131,0.0
15424,U,F,2284.0,87000.0,0.0,2284.0,,1,0,87000.0,0.0,0,0.0
15425,N,F,2304.0,78000.0,0.0,2304.0,,2,0,624000.0,0.0,0,0.0
15426,N,F,2284.0,69700.0,0.0,2284.0,935.0,4,10,257400.0,5991.45,66722,0.0
15427,U,F,2299.0,23000.0,0.0,2299.0,,1,0,23000.0,0.0,0,0.0
15428,N,F,2304.0,54500.0,0.0,2304.0,313.0,3,5,163500.0,1854.6699999999998,20073,0.0
15429,N,F,2329.0,56500.0,0.0,2329.0,606.0,6,12,669200.0,6429.629999999999,21603,0.0
15430,N,J,2304.0,53000.0,0.0,2304.0,,1,0,212000.0,0.0,0,0.0
15431,N,F,2300.0,162000.0,0.0,2300.0,705.0,1,10,162000.0,4287.61,126157,0.0
15432,N,F,2285.0,53200.0,0.0,2285.0,564.0,2,1,106400.0,597.14,64829,0.0
15433,N,F,2285.0,60000.0,0.0,2285.0,365.0,5,21,294000.0,11646.84,90001,0.0
15434,N,F,2305.0,52000.0,0.0,2305.0,154.0,3,11,156000.0,6451.08,34551,0.0
15435,N,F,2250.0,55000.0,0.0,2250.0,193.0,3,17,165000.0,8632.77,40075,0.0
15436,N,F,2250.0,54000.0,0.0,2250.0,1893.0,3,2,486000.0,739.8,2642,0.0
15437,N,F,2305.0,46490.0,0.0,2305.0,,1,0,46490.0,0.0,0,0.0
15438,N,F,2250.0,65500.0,0.0,2250.0,631.0,3,6,196500.0,3302.78,36112,0.0
15439,N,F,2313.0,53700.0,0.0,2313.0,,3,0,322200.0,0.0,0,0.0
15440,N,F,2285.0,205000.0,0.0,2285.0,2829.0,3,1,528500.0,1586.0,8667,0.0
15441,N,F,2330.0,70600.0,0.0,2330.0,1981.0,5,4,309800.0,1913.46,9430,0.0
15442,N,F,2305.0,61000.0,0.0,2305.0,,4,0,244000.0,0.0,0,0.0
15443,N,F,2331.0,47490.0,0.0,2331.0,3464.0,2,3,90890.0,56.7,31646,0.0
15444,N,F,2250.0,53000.0,0.0,2250.0,,2,0,86700.0,0.0,0,0.0
15445,N,F,2286.0,53800.0,0.0,2286.0,686.0,1,5,53800.0,2711.45,67093,0.0
15446,N,F,2306.0,48900.0,0.0,2306.0,435.0,2,7,97800.0,3174.2200000000003,17287,0.0
15447,U,F,2286.0,41000.0,0.0,2286.0,611.0,3,2,119000.0,832.1400000000001,111804,0.0
15448,N,F,2251.0,59700.0,0.0,2251.0,,3,0,537300.0,0.0,0,0.0
15449,U,F,2301.0,21500.0,0.0,2301.0,,2,0,43000.0,0.0,0,0.0
15450,N,F,2331.0,70000.0,0.0,2331.0,292.0,3,6,207000.0,5216.78,49771,0.0
15451,N,F,2286.0,55500.0,0.0,2286.0,1165.0,2,4,222000.0,3469.62,23791,0.0
15452,N,F,2251.0,39400.0,0.0,2251.0,395.0,4,28,130400.0,10247.910000000002,79414,0.0
